,usage_kwh,timestamp
140,4.390625,2022-01-02T11:00:00
141,2.203125,2022-01-02T11:15:00
142,4.28125,2022-01-02T11:30:00
143,2.390625,2022-01-02T11:45:00
144,4.015625,2022-01-02T12:00:00
145,2.296875,2022-01-02T12:15:00
146,4.0625,2022-01-02T12:30:00
147,2.0625,2022-01-02T12:45:00
148,4.328125,2022-01-02T13:00:00
149,2.328125,2022-01-02T13:15:00
150,4.078125,2022-01-02T13:30:00
151,2.328125,2022-01-02T13:45:00
152,4.03125,2022-01-02T14:00:00
153,2.34375,2022-01-02T14:15:00
154,4.1875,2022-01-02T14:30:00
155,2.15625,2022-01-02T14:45:00
156,4.21875,2022-01-02T15:00:00
157,2.59375,2022-01-02T15:15:00
158,4.296875,2022-01-02T15:30:00
159,2.4375,2022-01-02T15:45:00
160,6.375,2022-01-02T16:00:00
161,3.328125,2022-01-02T16:15:00
162,6.234375,2022-01-02T16:30:00
163,3.265625,2022-01-02T16:45:00
164,6.53125,2022-01-02T17:00:00
165,3.515625,2022-01-02T17:15:00
166,6.234375,2022-01-02T17:30:00
167,3.484375,2022-01-02T17:45:00
168,6.28125,2022-01-02T18:00:00
169,3.4375,2022-01-02T18:15:00
170,6.421875,2022-01-02T18:30:00
171,3.53125,2022-01-02T18:45:00
172,6.359375,2022-01-02T19:00:00
173,3.546875,2022-01-02T19:15:00
174,6.578125,2022-01-02T19:30:00
175,3.21875,2022-01-02T19:45:00
176,6.765625,2022-01-02T20:00:00
177,3.421875,2022-01-02T20:15:00
178,6.4375,2022-01-02T20:30:00
179,3.703125,2022-01-02T20:45:00
180,6.3125,2022-01-02T21:00:00
181,3.625,2022-01-02T21:15:00
182,6.625,2022-01-02T21:30:00
183,3.375,2022-01-02T21:45:00
184,6.640625,2022-01-02T22:00:00
185,3.4375,2022-01-02T22:15:00
186,6.640625,2022-01-02T22:30:00
187,3.640625,2022-01-02T22:45:00
188,6.5,2022-01-02T23:00:00
189,3.90625,2022-01-02T23:15:00
190,6.640625,2022-01-02T23:30:00
191,3.375,2022-01-02T23:45:00
192,6.40625,2022-01-03T00:00:00
193,3.75,2022-01-03T00:15:00
194,6.53125,2022-01-03T00:30:00
195,3.609375,2022-01-03T00:45:00
196,6.734375,2022-01-03T01:00:00
197,3.3125,2022-01-03T01:15:00
198,6.828125,2022-01-03T01:30:00
199,3.515625,2022-01-03T01:45:00
200,6.515625,2022-01-03T02:00:00
201,3.84375,2022-01-03T02:15:00
202,6.390625,2022-01-03T02:30:00
203,3.6875,2022-01-03T02:45:00
204,6.78125,2022-01-03T03:00:00
205,3.40625,2022-01-03T03:15:00
